Generation #,Chrom1 Best Fitness,Chrom1 Average Fitness,Chrom1 Best Fitness,Chrom3 Average Fitness,Chrom3 Best Fitness,Chrom3 Average Fitness
1,-0.7734854,-0.8391672,-2.243813,-2.508579,-1.978052,-2.487659
2,-0.8400183,-0.840551,-2.258607,-2.503217,-2.07378,-2.496498
